Sector,Weight
Auto,0.007511641229805418
Consumer Goods,0.26263917682504173
E-commerce,0.05244671623597423
Energy,0.07311491378534292
Entertainment,0.06045356733546089
Finance,0.15435678837024264
Healthcare,0.2626391768250417
Industrials,0.0427544329359171
Retail,0.010986724997601562
Tech,0.07309686145957178
