Symbol,Position_Size,Weight,Sector
DIS,279.5759047530028,8.925700138144757e-05,Entertainment
AAPL,443.5379040803796,0.00014160327354462973,Tech
UNH,368.5984651833908,0.00011767821602916586,Healthcare
PEP,217.98830667027997,6.959463336727203e-05,Consumer Goods
LLY,82.04220727245489,2.6192677134762496e-05,Healthcare
CAT,99.03727510041335,3.1618498054265725e-05,Industrials
TSLA,193.6836744822957,6.183517143976774e-05,Auto
NKE,256.77668355798954,8.197815480310212e-05,Consumer Goods
JNJ,415.1162142679471,0.00013252940571938711,Healthcare
BAC,1255.4552336083466,0.00040081483280730477,Finance
BABA,647.6117163957895,0.0002067555854502149,E-commerce
KO,2133.0602822456713,0.0006809977588280269,Consumer Goods
NVDA,395.0706495269553,0.00012612968754138708,Tech
META,120.37719474987925,3.843145011934135e-05,Tech
CVX,632.8850641912596,0.0002020539756411539,Energy
AMZN,404.3893670926211,0.00012910476791309076,E-commerce
SPOT,255.72793023727004,8.164333132581084e-05,Entertainment
NFLX,106.87149057622389,3.411963842315679e-05,Entertainment
PFE,3590.326675727258,0.0011462425323754371,Healthcare
GE,310.43466835323807,9.910892588019635e-05,Industrials
GOOGL,202.62947776161832,6.4691195732584e-05,Tech
LMT,133.54329026167449,4.263483884242463e-05,Industrials
GS,85.16280936832767,2.718895607313647e-05,Finance
PG,1319.5517602750808,0.0004212781977539123,Consumer Goods
HD,144.1720267691756,4.6028153977973276e-05,Retail
MS,424.17934164765785,0.00013542288673580648,Finance
XOM,445.7124745391205,0.00014229752378272292,Energy
MRK,278.7067011433214,8.897950068674847e-05,Healthcare
MCD,168.08798403776734,5.3663528109543195e-05,Consumer Goods
MSFT,156.60763314951342,4.9998327791233655e-05,Tech
WMT,2448.1766592473086,0.0007816013602800216,Consumer Goods
AAPL,420.4406700367845,0.0001342292838127244,Tech
GOOGL,203.76306139827417,6.505310201457339e-05,Tech
JNJ,452.8077155380332,0.00014456274022260588,Healthcare
LLY,117.83439014824778,3.761963797823038e-05,Healthcare
MRK,252.05087901698693,8.046940124003172e-05,Healthcare
DIS,268.36175543905057,8.5676788195009e-05,Entertainment
MCD,217.21969987165593,6.934924906583452e-05,Consumer Goods
AMZN,463.97608652209243,0.0001481283382852622,E-commerce
HD,136.55951898282893,4.3597795687252485e-05,Retail
PG,1213.1129925182756,0.0003872967097959208,Consumer Goods
PEP,229.81017280922882,7.336886535349298e-05,Consumer Goods
BABA,670.6262039505298,0.0002141031576570601,E-commerce
GS,84.50802158898787,2.6979909468148385e-05,Finance
NFLX,121.59285320824652,3.881955949090439e-05,Entertainment
KO,2396.178539565507,0.0007650005153525174,Consumer Goods
CAT,108.29398499528114,3.45737819461441e-05,Industrials
WMT,2114.322679176398,0.0006750156186127723,Consumer Goods
BAC,1238.9915202391703,0.00039555865134833894,Finance
TSLA,199.09347081299487,6.356229523818364e-05,Auto
NKE,245.90547960708284,7.850742986018782e-05,Consumer Goods
LMT,128.4443176338164,4.100694817248018e-05,Industrials
CVX,606.8592553116276,0.00019374501331775594,Energy
META,131.1862928262538,4.18823472300474e-05,Tech
SPOT,239.47629880554007,7.645485884126594e-05,Entertainment
MSFT,218.8368262993169,6.986553052404971e-05,Tech
PFE,4306.745051096829,0.0013749652328404508,Healthcare
XOM,433.6483088904311,0.00013844593560339677,Energy
UNH,371.19083056659133,0.00011850585087414285,Healthcare
MS,434.8876880850817,0.0001388416180231203,Finance
NVDA,466.1527005207149,0.0001488232409409598,Tech
GE,333.2351855527134,0.00010638818621906298,Industrials
XOM,411.8375974756303,0.00013148267923621755,Energy
WMT,1473.1632811192715,0.00047031999103831345,Consumer Goods
BABA,781.8941504472378,0.000249626402276233,E-commerce
NVDA,465.77332848585496,0.00014870212317056577,Tech
PFE,4402.9482368386225,0.0014056789236008942,Healthcare
META,131.89671206999202,4.2109154656373245e-05,Tech
KO,2476.4351408103125,0.0007906231224742099,Consumer Goods
GOOGL,219.5239241803865,7.008489240566108e-05,Tech
GE,360.1153100986677,0.00011496989613376892,Industrials
NKE,228.15896844969967,7.28417042237463e-05,Consumer Goods
UNH,109.81990384738235,3.506094460492295e-05,Healthcare
CVX,609.5029190947946,0.00019458902561615013,Energy
SPOT,204.06118751523465,6.514828133003298e-05,Entertainment
MSFT,239.3388920293057,7.641099055144673e-05,Tech
LMT,126.42485651046721,4.0362217917790296e-05,Industrials
AMZN,463.8306469658156,0.00014808190546163606,E-commerce
HD,117.31856541478068,3.7454956515468655e-05,Retail
PG,1152.9215295755396,0.00036808006987919554,Consumer Goods
GS,86.42548504339575,2.759207609370277e-05,Finance
LLY,128.37978707213915,4.0986346238140166e-05,Healthcare
MRK,241.36397767718339,7.705751648375074e-05,Healthcare
MCD,396.10086899129925,0.00012645859392633962,Consumer Goods
NFLX,123.92658501737341,3.956462335288204e-05,Entertainment
TSLA,197.2208390205916,6.296444150458257e-05,Auto
PEP,256.6458974225194,8.193640020953425e-05,Consumer Goods
CAT,121.35923852381647,3.87449760026409e-05,Industrials
BAC,1260.0550959638053,0.00040228337824929617,Finance
AAPL,387.7589027624345,0.00012379534978206478,Tech
DIS,256.96510313026863,8.203830936484115e-05,Entertainment
JNJ,600.8092148589731,0.00019181348610149785,Healthcare
MS,476.2547000688285,0.00015204839079218882,Finance
BAC,1275.5708526667156,0.0004072369164259476,Finance
CAT,116.24211630086647,3.7111290919062614e-05,Industrials
JNJ,699.5370819827779,0.00022333320301001362,Healthcare
PEP,288.80301518327605,9.220283539081716e-05,Consumer Goods
AMZN,422.82318975144267,0.00013498992363127546,E-commerce
