Date,Open,High,Low,Close,Volume,Symbol,Company,Close_pct_change,Volume_pct_change,SMA_7,EMA_30,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14
2024-03-11,715.8915984762655,716.080566609459,707.1395148027302,710.1928100585938,3762500.0,COST,Costco Wholesale Corporation,-0.0158222251243205,-0.560912135746712,,,,,,,,,,,,
2024-03-12,713.1765091087433,736.0214401205808,713.0073908173074,732.8687133789062,3727400.0,COST,Costco Wholesale Corporation,0.0319292211905688,-0.009328903654485,,,,,,,,,,,,
2024-03-13,730.9988799691549,732.4907144180715,722.624732926048,730.2032470703125,2270300.0,COST,Costco Wholesale Corporation,-0.0036370311079382,-0.390915919944197,,,,,,,,,,,,
2024-03-14,734.3107893544036,736.6479724399227,725.0216065579848,727.9655151367188,1826100.0,COST,Costco Wholesale Corporation,-0.0030645329811553,-0.1956569616350262,,,,,,,,,,,,
2024-03-15,728.5324394848814,728.5324394848814,719.2830168350839,721.679931640625,3389900.0,COST,Costco Wholesale Corporation,-0.0086344522719777,0.8563605498055966,,,,,,,,,,,,
2024-03-18,722.1473502200195,729.3479892718663,722.0678294171438,727.5577392578125,1595200.0,COST,Costco Wholesale Corporation,0.0081446183543238,-0.5294256467742411,,,,,,,,,,,,
2024-03-19,727.8063288885824,731.3469468688352,726.0460055253141,728.1842651367188,1322700.0,COST,Costco Wholesale Corporation,0.0008611356117871,-0.1708249749247743,725.521745954241,,,,,,,,,,,
2024-03-20,727.0206856386098,738.0503421751536,725.1608701362316,736.687744140625,1398700.0,COST,Costco Wholesale Corporation,0.0116776472810899,0.0574582293793,729.3067365373884,,,,,,,,,,,
2024-03-21,739.4526466280945,748.2146856482548,737.0656871056324,738.5177612304688,2106900.0,COST,Costco Wholesale Corporation,0.0024841150194219,0.5063273039250733,730.1137433733259,,,,,,,,,,,
2024-03-22,740.3775702204584,740.7355959347997,730.3822911262373,730.7999877929688,1791200.0,COST,Costco Wholesale Corporation,-0.0104503558921063,-0.1498409986235701,730.198992047991,,,,,,,,,,,
2024-03-25,727.0206563951099,730.1634275985682,722.7838368382642,726.9808959960938,1604700.0,COST,Costco Wholesale Corporation,-0.0052259056659383,-0.1041201429209468,730.058332170759,,,,,,,,,,,
2024-03-26,727.0207040092929,730.7005747064186,726.244920905925,727.0007934570312,1353500.0,COST,Costco Wholesale Corporation,2.7369991490999723e-05,-0.1565401632703932,730.8184552873884,,,,,,,,,,,
2024-03-27,730.0043798776412,731.8841059967043,723.7884025285468,728.0948486328125,1246700.0,COST,Costco Wholesale Corporation,0.0015048885580699,-0.0789065386036202,730.8951851981027,,,,,,,,,,,
2024-03-28,729.8551142128184,730.8994468869024,724.355249456364,728.6417846679688,1713300.0,COST,Costco Wholesale Corporation,0.0007511878928732,0.3742680676987246,730.9605451311384,,,,,,,,,,,
2024-04-01,727.776595446872,729.2783853119263,716.279525978342,717.3138427734375,1600700.0,COST,Costco Wholesale Corporation,-0.0155466542447785,-0.0657211229790463,728.1928449358259,,,,,44.51563315638765,,,,,,9.765993733521613
2024-04-02,716.0805698399486,716.0805698399486,704.5437404959102,707.4279174804688,2326700.0,COST,Costco Wholesale Corporation,-0.0137818688326794,0.4535515711876055,723.7514386858259,,,,,35.88950820691736,,,,,,10.085796092853183
2024-04-03,706.1150744535231,706.940573193369,693.4743025154767,701.8484497070312,3205500.0,COST,Costco Wholesale Corporation,-0.0078869770835577,0.3777023251815876,719.6155046735491,,,,,32.10791018691821,,,,,,10.483610707542068
2024-04-04,704.9116852392657,713.2261613039318,700.3864055307987,701.0428466796875,2252400.0,COST,Costco Wholesale Corporation,-0.0011478304578146,-0.2973327094057089,715.9100690569196,,,,,31.590333079489362,,,,,,10.718562873941009
2024-04-05,702.1965314443695,712.9875040783318,702.1766815956838,709.834716796875,1552300.0,COST,Costco Wholesale Corporation,0.0125411309149332,-0.3108240099449476,713.4577723911831,,,,,42.48658283103065,,,,,,10.837463908840306
2024-04-08,709.6258163037044,712.2415040113815,707.0001733213913,707.93505859375,1459000.0,COST,Costco Wholesale Corporation,-0.0026761979347772,-0.060104361270373,710.5778023856027,,,,,40.96818631624687,699.4463853754239,722.0389434814454,744.6315015874668,6.257988799631004,0.1878643661884321,10.308295120395767
2024-04-09,712.3409789807569,715.1356796943643,703.1313781322226,714.67822265625,1388300.0,COST,Costco Wholesale Corporation,0.0095251167188903,-0.0484578478409869,708.5830078125,,,,,48.06360660997623,700.0597828604801,722.2632141113281,744.4666453621761,6.148293535388498,0.32919325915474346,10.465043249875588
2024-04-10,707.1295658638314,720.0388878804112,705.0907374839887,718.6465454101562,1832000.0,COST,Costco Wholesale Corporation,0.0055526006363495,0.3195995101923214,708.7733939034598,,,,,51.73988424929563,699.8474888250091,721.5521057128906,743.256722600772,6.016091344210653,0.4330658468255061,10.870861044067292
2024-04-11,727.5179326770578,729.7954447485944,720.2079681609839,728.36328125,2107800.0,COST,Costco Wholesale Corporation,0.0135208829735598,0.1505458515283841,711.76416015625,,,,,59.33088934101255,699.8877521357743,721.460107421875,743.0324627079757,5.980193517057819,0.6600004667217022,10.895557962925976
2024-04-12,724.0370005031806,728.910350749266,722.5849264238526,727.3289794921875,1480600.0,COST,Costco Wholesale Corporation,-0.0014200355570334,-0.2975614384666477,715.4042358398438,,,,,58.28003558269801,699.8925631735003,721.4282806396484,742.9639981057965,5.970300317878752,0.6369979630772552,10.496554565917252
2024-04-15,731.4264758508549,736.9661612977236,714.0416524964502,714.369873046875,1808000.0,COST,Costco Wholesale Corporation,-0.0178173932439216,0.2211265703093341,717.3080967494419,,,,,47.03846394117357,699.3095178365719,721.062777709961,742.8160375833501,6.033666012403452,0.3461631796328269,11.564639325629878
2024-04-16,714.3897819185066,718.5669305411249,708.2533865119431,712.0724487304688,1412300.0,COST,Costco Wholesale Corporation,-0.0032160151247804,-0.2188606194690265,717.6277727399554,,-4.091529718599986,,,45.36773809555334,698.4130778548437,720.2885131835938,742.1639485123438,6.074075853872259,0.31220797827216434,11.458655739115578
2024-04-17,719.064173833832,719.859806698878,707.1294987494531,711.2966918945312,1376700.0,COST,Costco Wholesale Corporation,-0.0010894352636737,-0.0252071089711817,718.1080060686384,,-4.267529142431044,,,44.78924933590051,697.5492775966251,719.4441345214843,741.3389914463436,6.086603774849574,0.3139416335326098,11.564968490126171
2024-04-18,711.2966667351855,715.036207841816,705.707265624603,707.3781127929688,1846400.0,COST,Costco Wholesale Corporation,-0.0055090641447036,0.3411781797050919,717.0651332310268,,-4.669380822851508,,,41.88399857313791,696.991905316751,717.9786529541016,738.9654005914522,5.846064517656973,0.24744680918860487,11.380280375462373
2024-04-19,709.14850161372,710.9784511963228,698.1785165818868,705.6476440429688,2188900.0,COST,Costco Wholesale Corporation,-0.0024463136739805,0.1854961005199307,715.2081473214286,,-5.0690526571083865,,,40.63061762076316,696.9527093545902,716.3351470947266,735.717584834863,5.411555699520446,0.22429930654113292,11.496243874214919
2024-04-22,710.9684764018197,714.3499919809944,702.3257800384804,711.5652465820312,1437100.0,COST,Costco Wholesale Corporation,0.0083860586640067,-0.343460185481292,712.8084280831473,719.7375305175781,-4.852359416933041,,,46.52395065818545,697.0790609899844,715.3734100341796,733.6677590783748,5.114629307600661,0.39591967872295725,11.538932782743242
2024-04-23,715.1158774444037,720.327342976545,712.4006973462448,718.7459716796875,1176200.0,COST,Costco Wholesale Corporation,0.0100914499859969,-0.1815461693688678,711.5822841099331,719.6735589796497,-4.05446659228835,,,52.66431713410702,697.3737942627474,714.9616638183594,732.5495333739714,4.919947584792542,0.6075828953973734,11.316508103246306
2024-04-24,715.7921029655757,721.4809355974588,712.19181418461,719.9493408203125,1206600.0,COST,Costco Wholesale Corporation,0.0016742621009935,0.0258459445672505,712.3793509347098,719.6913513564667,-3.2871368797984815,,,53.625334031446464,697.7323858935417,714.6090911865234,731.4857964795051,4.723339095773305,0.6582136305955959,11.155510451982293
